City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,mataura,NZ,72.77,clear sky,-46.1927,168.8643,Ellie's Villa
3,ushuaia,AR,49.66,broken clouds,-54.8,-68.3,Albatross Hotel
5,santa maria,BR,75.43,overcast clouds,-29.6842,-53.8069,Hotel Morotin
9,nouadhibou,MR,62.58,clear sky,20.931,-17.0347,El Medina
16,atambua,ID,75.96,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
21,pemberton,CA,26.46,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
29,vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,punta arenas,CL,48.31,clear sky,-53.15,-70.9167,Hotel Hain
31,thompson,CA,-2.04,few clouds,55.7435,-97.8558,Burntwood Hotel
34,saldanha,ZA,64.42,clear sky,-33.0117,17.9442,Blue Bay Lodge
35,calabozo,VE,79.79,overcast clouds,8.9242,-67.4293,Hotel Giardini
40,ilulissat,GL,-0.38,light shower snow,69.2167,-51.1,Hotel Arctic
45,mahebourg,MU,82.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,tiksi,RU,-6.61,overcast clouds,71.6872,128.8694,Arktika
57,humaita,BR,73.35,broken clouds,-7.5061,-63.0208,Corrêa Hotel
59,bredasdorp,ZA,69.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
64,hithadhoo,MV,82.96,clear sky,-0.6,73.0833,Scoop Guest House
67,eyrarbakki,IS,30.25,light snow,63.863,-21.1481,Guesthouse 77
68,xuddur,SO,71.11,overcast clouds,4.1213,43.8894,Banjanay Hotel
69,tasiilaq,GL,21.36,overcast clouds,65.6145,-37.6368,The Red House
79,kabare,CD,58.71,overcast clouds,-2.4683,28.8242,Hôtel Panorama
90,te anau,NZ,72.81,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
94,qingdao,CN,55.0,clear sky,36.0986,120.3719,Le Meridien Qingdao
95,topeka,US,14.9,clear sky,39.0483,-95.678,Hotel Topeka At City Center
101,kyzyl-suu,KG,32.77,overcast clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
102,namtsy,RU,-0.29,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
106,pevek,RU,-6.14,overcast clouds,69.7008,170.3133,Severnoye Zoloto
107,severo-yeniseyskiy,RU,20.35,light snow,60.3725,93.0408,Aktolik
110,kruisfontein,ZA,71.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
111,pskov,RU,31.91,clear sky,57.8136,28.3496,Zolotaya Naberezhnaya
113,zhezkazgan,KZ,17.58,few clouds,47.8043,67.7144,Hotel Zumrat
120,saint-pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
125,coahuayana,MX,70.9,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
126,praia,CV,68.34,clear sky,14.9215,-23.5087,LT Aparthotel
130,kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
132,bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
134,zaysan,KZ,16.81,broken clouds,47.4667,84.8667,Ерлан үй
143,hervey bay,AU,73.51,moderate rain,-25.2986,152.8535,Shelly Bay Resort
153,ragonvalia,CO,61.43,overcast clouds,7.5775,-72.4757,Posada la Concordia
157,saint george,US,38.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
169,lukovetskiy,RU,33.78,overcast clouds,64.2956,41.9211,Provintsiya
174,whitehorse,CA,23.77,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
177,deputatskiy,RU,0.1,overcast clouds,69.3,139.9,Baza Otdykha
180,kaitangata,NZ,64.92,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
184,waingapu,ID,85.87,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
188,cidreira,BR,75.52,light rain,-30.1811,-50.2056,Hotel Castelo
195,belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
196,antofagasta,CL,63.68,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
201,north bend,US,39.13,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
207,novo aripuana,BR,74.32,moderate rain,-5.1206,-60.3797,Hotel Ezequiel
209,fairbanks,US,29.1,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
210,boueni,YT,78.78,light rain,-12.9025,45.0761,The feet in water
211,mackay,AU,85.6,overcast clouds,-21.15,149.2,International Lodge Motel
213,svatove,UA,31.33,light snow,49.4103,38.1503,Myslyvsʹka Vatra
214,charqueada,BR,66.07,few clouds,-22.5097,-47.7781,Hotel Serra do Itaqueri
216,san cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
217,xingtai,CN,59.83,clear sky,37.0631,114.4942,Xingzhou Hotel
218,pemangkat,ID,83.44,overcast clouds,1.1667,108.9667,Ramah Kost KITA
229,muisne,EC,73.8,overcast clouds,0.6,-80.0333,Quinta Samay
232,porto belo,BR,79.25,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
234,sao joaquim,BR,58.37,light rain,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
239,cunha,BR,61.56,few clouds,-23.0744,-44.9597,Pousada Calu
244,takaka,NZ,65.55,broken clouds,-40.85,172.8,Golden Bay Motels
251,ambilobe,MG,76.96,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
253,caldwell,US,26.98,few clouds,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
257,yibin,CN,55.33,few clouds,28.7667,104.6238,Handsome Guesthouse
259,lehi,US,26.08,overcast clouds,40.3916,-111.8508,Best Western Timpanogos Inn
261,baghdad,IQ,62.51,clear sky,33.3406,44.4009,Baghdad Hotel
263,codrington,AU,66.24,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
266,moose factory,CA,-16.62,clear sky,51.2585,-80.6094,Moosonee Lilypad
268,babu,CN,56.93,clear sky,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
276,zheshart,RU,20.34,overcast clouds,62.0731,49.5733,"Gostinitsa, Zao Zhfk"
279,cuamba,MZ,66.69,overcast clouds,-14.8031,36.5372,Hotel Vision
289,san andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
294,washington,US,25.84,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
298,ouahigouya,BF,74.57,clear sky,13.5828,-2.4216,Hotel Liberte
303,sao joao da barra,BR,73.38,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
309,chumikan,RU,18.68,clear sky,54.7183,135.315,Fortuna
315,montevideo,UY,69.51,broken clouds,-34.8335,-56.1674,Besares Social Club
319,severo-kurilsk,RU,27.25,overcast clouds,50.6789,156.125,Kak Doma
338,mount gambier,AU,70.11,few clouds,-37.8333,140.7667,The Commodore
339,cartagena,CO,78.42,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
340,lima,PE,68.4,fog,-12.0432,-77.0282,Hotel Kamana
341,atar,MR,71.17,overcast clouds,20.5169,-13.0499,Oumou Elghoura
343,port arthur,CN,53.82,clear sky,38.8,121.2667,Friendship Hotel
345,ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
347,kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
350,mitsamiouli,KM,81.61,light rain,-11.3847,43.2844,Foyer ADM
352,faanui,PF,81.93,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
355,columbus,US,35.56,light rain,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
356,faya,SA,55.51,few clouds,18.3851,42.4509,املاك خالد الشعشوع
357,isiro,CD,64.0,broken clouds,2.7739,27.616,Guest House Hewa Bora
358,dafeng,CN,57.04,clear sky,23.4517,108.5881,Shenglong Hotel
359,pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
373,carauari,BR,72.57,broken clouds,-4.8828,-66.8958,Hotel Fellip
375,byron bay,AU,78.75,overcast clouds,-28.65,153.6167,Backpackers Inn
378,cayenne,GF,75.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
380,amuntai,ID,87.62,overcast clouds,-2.4177,115.2494,Hotel Balqis
384,rio gallegos,AR,53.65,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
386,iberia,US,71.67,overcast clouds,29.9502,-91.7507,back to back rv park
395,sassandra,CI,76.55,few clouds,4.95,-6.0833,la terrasse
396,nishihara,JP,64.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
397,riyadh,SA,59.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
404,nemuro,JP,32.43,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
406,vao,NC,79.25,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
411,sarahan,IN,40.91,broken clouds,31.5167,77.8,OYO 39328 Bushahr Heights
415,yar-sale,RU,0.5,overcast clouds,66.8333,70.8333,Yalemd
420,svetlyy,RU,39.25,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
422,aklavik,CA,2.23,overcast clouds,68.2191,-135.0107,Aklavik Inn
428,santander,ES,47.98,broken clouds,43.4647,-3.8044,Abba Santander Hotel
435,cherskiy,RU,-5.1,overcast clouds,68.75,161.3,Gostinitsa
440,beira,MZ,75.29,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
441,adeje,ES,63.95,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
442,myitkyina,MM,77.14,few clouds,25.3833,97.4,Shwe Phyu Hotel
444,mandal,IN,71.92,clear sky,25.45,74.5667,Surpanch saab ki vatika
445,whyalla,AU,80.49,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
446,blagoveshchensk,RU,30.81,few clouds,50.2667,127.5333,Hotel Strannik
447,bardiyah,LY,54.21,clear sky,31.7561,25.0865,بورتو بردية
461,swellendam,ZA,70.9,overcast clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
466,diffa,NE,63.23,scattered clouds,13.3154,12.6113,ProDAF/Diffa
469,chapais,CA,-22.22,broken clouds,49.7834,-74.8492,Hôtel Opémiska
471,zhigansk,RU,-2.81,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
474,beyneu,KZ,40.57,few clouds,45.3167,55.2,NUR
477,manaus,BR,79.29,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
493,doka,SD,72.61,broken clouds,13.5167,35.7667,Um Rakuba Refugee Camp
496,bulancak,TR,48.02,light rain,40.9372,38.2291,Başoğlu Bulancak Otel
497,morehead,US,37.99,drizzle,37.2711,-87.1764,CCI Express Inn
499,tsiroanomandidy,MG,68.14,overcast clouds,-18.7667,46.0333,Hotel Ravinala
503,susanville,US,31.84,clear sky,40.4163,-120.653,Comfort Inn & Suites
506,sheltozero,RU,29.79,overcast clouds,61.3667,35.3667,The village of Vanino
510,seoul,KR,49.51,scattered clouds,37.5683,126.9778,롯데호텔 서울
512,mayumba,GA,77.77,overcast clouds,-3.432,10.6554,LIKWALE LODGE
522,karachi,PK,67.82,mist,24.9056,67.0822,Sadaat
523,adra,ES,61.81,overcast clouds,36.7496,-3.0206,Hostal Zapata
526,nago,JP,64.83,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
533,swan hill,AU,88.95,broken clouds,-35.3378,143.5544,Lazy River Motor Inn
536,januaria,BR,72.18,light rain,-15.4833,-44.3667,Hotel Paraguassu
537,dumai,ID,80.98,overcast clouds,1.6833,101.45,Grand Zuri Dumai
538,mogadishu,SO,78.06,broken clouds,2.0371,45.3438,Hotel Juba
539,trelew,AR,60.64,overcast clouds,-43.249,-65.3051,Hotel Touring Club
549,bilibino,RU,8.82,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
550,homer,US,42.8,broken clouds,59.6425,-151.5483,Beluga Lake Lodge
551,rantepao,ID,82.09,light rain,-2.9701,119.8978,Hotel Luta Resort
553,redmond,US,35.78,clear sky,47.674,-122.1215,Seattle Marriott Redmond
555,cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
557,buluang,PH,85.5,overcast clouds,13.3068,123.3425,Enon Beach Resort
558,petauke,ZM,64.09,overcast clouds,-14.2426,31.3253,Kwamwanja Wanthu
559,puerto ayacucho,VE,76.37,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
560,vilhena,BR,68.5,scattered clouds,-12.7406,-60.1458,Hotel Mirage
562,sulangan,PH,80.98,light rain,11.1373,123.7228,Maia's Beach Resort
563,hailar,CN,15.35,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
564,mangrol,IN,75.72,clear sky,21.1167,70.1167,Hotel The Royal Honours
566,ornskoldsvik,SE,8.42,overcast clouds,63.2909,18.7153,ファーストホテル スタット
567,soe,ID,69.01,overcast clouds,-9.8607,124.284,Dena Hotel
572,akureyri,IS,8.53,clear sky,65.6835,-18.0878,Icelandair Hotel Akureyri
591,palauig,PH,84.96,clear sky,15.435,119.9045,Alperi Botique Resort
593,antalaha,MG,77.5,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
